,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
5932,@AspieMagister,1,0,0,0,0,0,0,0,0,0,2
5933,@dobvesti,1,0,0,0,0,0,0,0,0,0,2
5934,@fR7wDtSKUq7sDab,0,0,0,0,1,0,0,0,0,0,1
5936,@dog_paw_,1,0,0,0,0,0,0,0,0,0,2
5937,@beskydnikovo,0,0,0,1,0,0,0,0,0,0,6
5939,@MilayaGanna,1,0,0,0,0,0,0,0,0,0,2
5941,@InalKulov,1,0,0,0,0,0,0,0,0,0,2
5942,@VebCamModel,0,0,0,0,0,0,0,0,1,0,8
5944,@Cause_The_Night,0,1,0,0,0,0,0,0,0,0,0
5948,@semikhvatsky,1,0,0,0,0,0,0,0,0,0,2
5949,@maksimov_djon,0,0,0,0,0,0,0,0,0,1,9
5950,@aralbaev_azamat,0,0,0,0,0,0,0,0,0,1,9
5951,@GarmonDimon,1,0,0,0,0,0,0,0,0,0,2
5952,@_Nastya7_,0,0,1,0,0,0,0,0,0,0,3
5953,@ivangogphone,0,0,0,0,0,1,0,0,0,0,4
5956,@FrauVitochka1,1,0,0,0,0,0,0,0,0,0,2
5957,@Ya_GENIaLnna,0,0,1,0,0,0,0,0,0,0,3
5958,@nh2no3,1,0,0,0,0,0,0,0,0,0,2
5959,@primvolley,1,0,0,0,0,0,0,0,0,0,2
5960,@zastalina_org,0,0,1,0,0,0,0,0,0,0,3
5961,@af6dAVwHXfoeZb5,0,0,1,0,0,0,0,0,0,0,3
5962,@leonid_kuzmin,0,0,0,0,0,0,0,0,1,0,8
5964,@konstspas,0,0,0,0,0,0,0,0,1,0,8
5965,@Alex_Neforo,0,1,0,0,0,0,0,0,0,0,0
5966,@clownfromRussia,0,0,1,0,0,0,0,0,0,0,3
5968,@COVID33416115,0,0,0,0,0,0,0,0,1,0,8
5969,@arman_badalian,0,0,0,0,1,0,0,0,0,0,1
5970,@DonbassRestore,0,1,0,0,0,0,0,0,0,0,0
5971,@Mark39998207,0,0,0,0,0,0,1,0,0,0,7
5973,@socblok,0,0,1,0,0,0,0,0,0,0,3
5977,@kolbasaVS,0,1,0,0,0,0,0,0,0,0,0
5978,@Milena_Cotliar,0,0,0,0,0,0,1,0,0,0,7
5979,@SeSAleks,0,0,1,0,0,0,0,0,0,0,3
5980,@bankdonor,0,0,0,0,0,0,0,0,1,0,8
5982,@eY0dzI6XjdYpnMe,0,0,1,0,0,0,0,0,0,0,3
5984,@yuuushinaa,0,1,0,0,0,0,0,0,0,0,0
5985,@homenko40,0,1,0,0,0,0,0,0,0,0,0
5986,@VantaanKaupunki,0,0,0,1,0,0,0,0,0,0,6
5987,@alvin_amrahly,0,1,0,0,0,0,0,0,0,0,0
5988,@mursya_ru,0,0,1,0,0,0,0,0,0,0,3
5989,@maxim_exemplary,1,0,0,0,0,0,0,0,0,0,2
5991,@Konoplya_Kaktus,0,1,0,0,0,0,0,0,0,0,0
5992,@kalmar563,0,1,0,0,0,0,0,0,0,0,0
5993,@frolova_ekateri,1,0,0,0,0,0,0,0,0,0,2
5994,@DietrichVogel,1,0,0,0,0,0,0,0,0,0,2
5995,@vanillaenot,0,0,0,1,0,0,0,0,0,0,6
5996,@sergeyzsb,0,0,1,0,0,0,0,0,0,0,3
5997,@a_persik_,0,1,0,0,0,0,0,0,0,0,0
5998,@wisest_woman,0,0,0,1,0,0,0,0,0,0,6
5999,@archie_0610,0,0,0,0,0,0,0,0,0,1,9
6001,@alexandra_quail,0,0,0,0,1,0,0,0,0,0,1
6002,@AveChristine,0,1,0,0,0,0,0,0,0,0,0
6003,@VolgaSIB,0,0,0,1,0,0,0,0,0,0,6
6005,@Water_msk,0,0,0,1,0,0,0,0,0,0,6
6006,@igsvi,0,0,0,0,0,0,0,0,1,0,8
6007,@YourMyHope3,0,1,0,0,0,0,0,0,0,0,0
6008,@AnnTennKa,0,0,1,0,0,0,0,0,0,0,3
6009,@MrBraskoO,0,0,0,1,0,0,0,0,0,0,6
6012,@_bevesu,0,0,0,1,0,0,0,0,0,0,6
6013,@PomponioZab,1,0,0,0,0,0,0,0,0,0,2
6014,@9WlB32G9ldWGtqE,0,0,0,0,0,1,0,0,0,0,4
6015,@dani_astra,0,0,0,1,0,0,0,0,0,0,6
6016,@heyyouheybitch,1,0,0,0,0,0,0,0,0,0,2
6017,@burckina,0,1,0,0,0,0,0,0,0,0,0
6018,@LanOks,1,0,0,0,0,0,0,0,0,0,2
6019,@karinarolonova,0,0,1,0,0,0,0,0,0,0,3
6020,@Osiris2000Pavel,1,0,0,0,0,0,0,0,0,0,2
6021,@Neacort,0,0,1,0,0,0,0,0,0,0,3
6022,@iFORA,0,0,1,0,0,0,0,0,0,0,3
6024,@ilyasokoloff,0,1,0,0,0,0,0,0,0,0,0
6025,@impalka67g,0,0,0,0,1,0,0,0,0,0,1
6026,@Rossihin,1,0,0,0,0,0,0,0,0,0,2
6027,@JuliaSavicheva,0,0,0,1,0,0,0,0,0,0,6
6028,@filasha_33,1,0,0,0,0,0,0,0,0,0,2
6029,@HalitBergu_Rus1,1,0,0,0,0,0,0,0,0,0,2
6030,@saskefugakovich,0,1,0,0,0,0,0,0,0,0,0
6031,@4vTgIFxDIynW,1,0,0,0,0,0,0,0,0,0,2
6032,@zhrsok,0,1,0,0,0,0,0,0,0,0,0
6034,@pablomosienko,0,1,0,0,0,0,0,0,0,0,0
6038,@fetish_oncheeks,0,0,1,0,0,0,0,0,0,0,3
6040,@sidniekottrell,0,1,0,0,0,0,0,0,0,0,0
6041,@vesnuschkkka,0,0,0,0,1,0,0,0,0,0,1
6045,@Emilee2605,0,1,0,0,0,0,0,0,0,0,0
6048,@nkosuxin,0,0,0,0,1,0,0,0,0,0,1
6050,@IvlichevV,0,0,0,0,1,0,0,0,0,0,1
6055,@Annihilator9k,0,1,0,0,0,0,0,0,0,0,0
6057,@NamtarEnzigall,1,0,0,0,0,0,0,0,0,0,2
6059,@ValCkr,1,0,0,0,0,0,0,0,0,0,2
6062,@gwinplane,0,0,1,0,0,0,0,0,0,0,3
6063,@tollomina,0,0,0,0,1,0,0,0,0,0,1
6064,@RLC_EVGEN,1,0,0,0,0,0,0,0,0,0,2
6066,@AnnaVanDensky,1,0,0,0,0,0,0,0,0,0,2
6067,@AddaAld,0,1,0,0,0,0,0,0,0,0,0
6068,@tinanik79,0,0,0,0,0,0,0,1,0,0,5
6069,@peterprivin,0,0,0,1,0,0,0,0,0,0,6
6073,@OxyButerbrod,0,1,0,0,0,0,0,0,0,0,0
6074,@PISAREVPRO,0,0,0,0,1,0,0,0,0,0,1
6076,@kolpashevo_net,0,0,0,0,0,1,0,0,0,0,4
6077,@33kovrov,0,0,0,1,0,0,0,0,0,0,6
6078,@foxdreammy,0,0,1,0,0,0,0,0,0,0,3
6079,@nashdvorsamara,0,0,0,0,0,0,1,0,0,0,7
6080,@vers_,0,0,0,1,0,0,0,0,0,0,6
6081,@BTS_stray_kids,0,0,0,0,1,0,0,0,0,0,1
6082,@gtsulaia,0,0,0,0,0,0,1,0,0,0,7
6083,@Lohmatyi_drug,0,1,0,0,0,0,0,0,0,0,0
6084,@AlternaLtd,1,0,0,0,0,0,0,0,0,0,2
6087,@DubovickiyMir,0,1,0,0,0,0,0,0,0,0,0
6088,@AZUwB2dEXxJJ23D,0,0,1,0,0,0,0,0,0,0,3
6089,@votsare,0,1,0,0,0,0,0,0,0,0,0
6091,@maksanat,1,0,0,0,0,0,0,0,0,0,2
6092,@RusEmbassyJ,1,0,0,0,0,0,0,0,0,0,2
6094,@likaponn,0,0,0,0,0,0,1,0,0,0,7
6095,@Molohko_,0,1,0,0,0,0,0,0,0,0,0
6096,@Detaler2,1,0,0,0,0,0,0,0,0,0,2
6099,@Volertru,0,0,0,0,0,0,1,0,0,0,7
6100,@Xd17Ma,0,0,0,1,0,0,0,0,0,0,6
6103,@KaratelPsy,0,0,0,0,0,1,0,0,0,0,4
6104,@Lungri_smile,1,0,0,0,0,0,0,0,0,0,2
6105,@peremadm,0,0,0,0,0,0,1,0,0,0,7
6106,@neustraschimiy,0,0,0,1,0,0,0,0,0,0,6
6108,@dawnillusion,0,0,0,1,0,0,0,0,0,0,6
6111,@Lyuba_Panda,0,0,1,0,0,0,0,0,0,0,3
6112,@vmestesarchi,0,0,0,1,0,0,0,0,0,0,6
6113,@HoffDim,0,0,0,0,0,0,0,0,1,0,8
6114,@Smolin84,1,0,0,0,0,0,0,0,0,0,2
6116,@B2iC9HEh95pxQdT,0,0,1,0,0,0,0,0,0,0,3
6118,@Kadet_75,0,0,0,1,0,0,0,0,0,0,6
6120,@putnik55476786,1,0,0,0,0,0,0,0,0,0,2
6123,@BlackroseDenis,0,1,0,0,0,0,0,0,0,0,0
6124,@ksumice,0,0,1,0,0,0,0,0,0,0,3
6126,@ingwar11,0,0,0,0,0,0,0,1,0,0,5
6127,@Dr_Ansar_,0,0,1,0,0,0,0,0,0,0,3
6128,@revdanazavode,1,0,0,0,0,0,0,0,0,0,2
6129,@Karrait1,0,1,0,0,0,0,0,0,0,0,0
6132,@minitava2013,1,0,0,0,0,0,0,0,0,0,2
6134,@sergrovnov,0,0,0,0,0,0,0,0,0,1,9
6135,@doniljcho,0,0,0,0,1,0,0,0,0,0,1
6136,@bro_elbro,0,1,0,0,0,0,0,0,0,0,0
6137,@wife_barnes,0,0,0,0,1,0,0,0,0,0,1
6142,@Botaniqname,0,0,0,0,0,1,0,0,0,0,4
6143,@SpaceWoodpecker,0,0,0,1,0,0,0,0,0,0,6
6144,@greatdisease,0,1,0,0,0,0,0,0,0,0,0
6145,@potatoopancakee,0,0,1,0,0,0,0,0,0,0,3
6146,@voischev,1,0,0,0,0,0,0,0,0,0,2
6148,@ArisatoSr,0,1,0,0,0,0,0,0,0,0,0
6149,@di_loh,0,0,0,0,0,1,0,0,0,0,4
6150,@annettiepoli,1,0,0,0,0,0,0,0,0,0,2
6151,@kamondimon,1,0,0,0,0,0,0,0,0,0,2
6152,@_wum0,0,0,0,0,0,0,0,0,1,0,8
6153,@omega_servis,0,0,0,0,0,1,0,0,0,0,4
6155,@Denis45104,1,0,0,0,0,0,0,0,0,0,2
6157,@Svetla53031029,0,0,0,0,1,0,0,0,0,0,1
6161,@demyanovjohn,0,0,1,0,0,0,0,0,0,0,3
6162,@toomanyshadows,0,0,1,0,0,0,0,0,0,0,3
6163,@redaktor87,0,1,0,0,0,0,0,0,0,0,0
6164,@OhAmygdala,0,1,0,0,0,0,0,0,0,0,0
6165,@Aleas,0,0,0,0,1,0,0,0,0,0,1
6166,@angelx804836373,0,1,0,0,0,0,0,0,0,0,0
6167,@Ged_Urs,0,1,0,0,0,0,0,0,0,0,0
6168,@iltours,1,0,0,0,0,0,0,0,0,0,2
6169,@GorkovArtem,0,1,0,0,0,0,0,0,0,0,0
6170,@sergolove2,1,0,0,0,0,0,0,0,0,0,2
6171,@marijazimina1,0,0,0,0,1,0,0,0,0,0,1
6172,@alekseyevsk,0,0,0,0,1,0,0,0,0,0,1
6173,@S_Dan4ik,1,0,0,0,0,0,0,0,0,0,2
6175,@__oduvanchik,0,0,0,0,0,0,1,0,0,0,7
6176,@all_ryast,0,1,0,0,0,0,0,0,0,0,0
6177,@cultofmylife,0,0,0,0,0,0,0,0,0,1,9
6179,@vi_serg202,1,0,0,0,0,0,0,0,0,0,2
6180,@PinkiePieBlyat,0,0,0,0,1,0,0,0,0,0,1
6181,@alekseygleb0v,0,0,0,0,1,0,0,0,0,0,1
6182,@veron_novin,0,0,0,0,0,1,0,0,0,0,4
6183,@Mintrud15,0,1,0,0,0,0,0,0,0,0,0
6184,@__rafuuu__,0,0,0,1,0,0,0,0,0,0,6
6185,@deadserious6,0,0,0,0,0,0,0,1,0,0,5
6187,@lab_history,0,1,0,0,0,0,0,0,0,0,0
6189,@CMedrese,0,1,0,0,0,0,0,0,0,0,0
6190,@fraveran,1,0,0,0,0,0,0,0,0,0,2
6191,@fuckinderb,0,1,0,0,0,0,0,0,0,0,0
6193,@Weird_CoConu_T,0,0,1,0,0,0,0,0,0,0,3
6194,@ArtistValentin1,0,0,0,1,0,0,0,0,0,0,6
6195,@hrpublishers,0,0,0,0,0,1,0,0,0,0,4
6196,@T_A_IS,1,0,0,0,0,0,0,0,0,0,2
6197,@KseniaKurnakova,0,0,0,0,1,0,0,0,0,0,1
6200,@YiriZaloga,0,0,0,0,0,0,0,1,0,0,5
6201,@Sitronskive,0,0,0,1,0,0,0,0,0,0,6
6202,@maxfolkwebnet,1,0,0,0,0,0,0,0,0,0,2
6203,@uskov_,1,0,0,0,0,0,0,0,0,0,2
6204,@TwoSecondsB4,0,1,0,0,0,0,0,0,0,0,0
6205,@mbuk_bcrkt_2015,0,0,0,0,0,0,0,0,0,1,9
6207,@vlagul,1,0,0,0,0,0,0,0,0,0,2
6208,@vologdazso,0,1,0,0,0,0,0,0,0,0,0
6212,@metroridermsk,0,0,0,0,0,0,0,1,0,0,5
6213,@vizeex,0,1,0,0,0,0,0,0,0,0,0
6214,@Evpator1,0,0,0,0,0,0,0,1,0,0,5
6215,@vik1188,0,0,0,0,0,0,1,0,0,0,7
6216,@DXHcLrhkB1L6GPo,0,0,0,1,0,0,0,0,0,0,6
6217,@BDSM963,0,0,0,0,0,0,0,1,0,0,5
6221,@futbosfera,0,0,1,0,0,0,0,0,0,0,3
6222,@Shufa__10,0,0,0,1,0,0,0,0,0,0,6
6226,@lazarevjungkook,0,0,1,0,0,0,0,0,0,0,3
6227,@basss92,1,0,0,0,0,0,0,0,0,0,2
6228,@_AleXStaN_,0,0,0,0,0,0,1,0,0,0,7
6229,@r_kornilov,0,1,0,0,0,0,0,0,0,0,0
6231,@kushina32,0,0,0,0,1,0,0,0,0,0,1
6232,@rezmaxon,0,0,0,1,0,0,0,0,0,0,6
6233,@family_and_i,0,0,0,0,1,0,0,0,0,0,1
6235,@lIHSyd8N4ylW2Sf,0,0,1,0,0,0,0,0,0,0,3
6236,@chip_irkutsk,0,1,0,0,0,0,0,0,0,0,0
6237,@rapbaton,0,1,0,0,0,0,0,0,0,0,0
6240,@DenisRudev,1,0,0,0,0,0,0,0,0,0,2
6241,@cctlusn,0,0,0,0,1,0,0,0,0,0,1
6242,@MiroslavaLitau,1,0,0,0,0,0,0,0,0,0,2
6243,@SpiffyRemo,0,1,0,0,0,0,0,0,0,0,0
6247,@aihmm,0,0,1,0,0,0,0,0,0,0,3
6248,@yuriyborodaev,0,0,0,0,1,0,0,0,0,0,1
6249,@1_ofd,0,0,0,0,0,0,0,1,0,0,5
6250,@ZigZagMakryak,0,0,0,0,0,1,0,0,0,0,4
6251,@d_shilov23,0,1,0,0,0,0,0,0,0,0,0
6252,@MTCHTAzerbaijan,0,0,0,0,1,0,0,0,0,0,1
6253,@trexap,0,0,0,0,0,0,0,0,1,0,8
6254,@AGODbNy9BD4XxvL,1,0,0,0,0,0,0,0,0,0,2
6255,@TLGgRM07bphdjX3,1,0,0,0,0,0,0,0,0,0,2
6259,@NSKAYA3,0,0,0,0,1,0,0,0,0,0,1
6260,@MrSLFL,1,0,0,0,0,0,0,0,0,0,2
6261,@tokiiskii_golyb,0,0,0,0,1,0,0,0,0,0,1
6262,@MZemcova,0,1,0,0,0,0,0,0,0,0,0
6263,@g7WAc4fkQkwlvZd,0,1,0,0,0,0,0,0,0,0,0
6264,@NestorTea,1,0,0,0,0,0,0,0,0,0,2
6266,@FilippovVova83,0,0,0,1,0,0,0,0,0,0,6
6267,@bgfcapital,0,0,1,0,0,0,0,0,0,0,3
6268,@MithrasApostle,0,0,0,0,0,0,0,0,0,1,9
6269,@edelweissuu,0,0,0,0,0,0,0,1,0,0,5
6270,@Bestuzheva_N,0,1,0,0,0,0,0,0,0,0,0
6272,@AndreWRusher,1,0,0,0,0,0,0,0,0,0,2
6273,@popov_a_g,0,0,0,0,0,1,0,0,0,0,4
6274,@Natali_Ufa,0,0,0,1,0,0,0,0,0,0,6
6276,@Denis_Paladin,0,0,0,1,0,0,0,0,0,0,6
6277,@maklakov,0,0,1,0,0,0,0,0,0,0,3
6280,@aelita_lens,0,0,1,0,0,0,0,0,0,0,3
6281,@TIKA_BiskekPKO,0,0,0,0,0,0,0,0,1,0,8
6283,@teamoffuture,0,0,1,0,0,0,0,0,0,0,3
6284,@MolPleshivaja,1,0,0,0,0,0,0,0,0,0,2
6286,@mmmedikus,1,0,0,0,0,0,0,0,0,0,2
6287,@kkrrllss1,0,1,0,0,0,0,0,0,0,0,0
6288,@AnnaStrawberr14,0,0,1,0,0,0,0,0,0,0,3
6289,@54Umnova,0,1,0,0,0,0,0,0,0,0,0
6290,@MadBioWeapon,0,0,1,0,0,0,0,0,0,0,3
6291,@moshamoshit,0,0,0,1,0,0,0,0,0,0,6
6292,@pressamr,0,0,0,0,1,0,0,0,0,0,1
6293,@piu_ranepa,0,1,0,0,0,0,0,0,0,0,0
6294,@lastormo,0,0,0,0,1,0,0,0,0,0,1
6295,@feefifo,0,0,0,1,0,0,0,0,0,0,6
6296,@Romitlab,0,0,1,0,0,0,0,0,0,0,3
6297,@laksherypanda,1,0,0,0,0,0,0,0,0,0,2
6298,@ratcorz,0,0,0,0,0,1,0,0,0,0,4
6299,@17cute_raccoon,0,1,0,0,0,0,0,0,0,0,0
6300,@Haracter_Girll,0,0,0,0,1,0,0,0,0,0,1
6301,@ukuravu,0,0,0,0,0,0,0,0,1,0,8
6302,@Fogoftweeter,0,0,0,0,0,0,1,0,0,0,7
6304,@svyat94,0,1,0,0,0,0,0,0,0,0,0
6307,@alex_tilichenko,0,0,0,0,1,0,0,0,0,0,1
6308,@Yaoika01,0,1,0,0,0,0,0,0,0,0,0
6310,@tigral,0,0,1,0,0,0,0,0,0,0,3
6311,@siunsote,1,0,0,0,0,0,0,0,0,0,2
6313,@nedovegan,0,0,0,1,0,0,0,0,0,0,6
6314,@radiohospice,0,0,0,0,0,0,0,1,0,0,5
6315,@leiroset_,0,1,0,0,0,0,0,0,0,0,0
6316,@HealthSport_SU,0,0,0,0,0,1,0,0,0,0,4
6317,@godscommissar,1,0,0,0,0,0,0,0,0,0,2
6320,@nikbetcom,0,1,0,0,0,0,0,0,0,0,0
6323,@letitW0W,1,0,0,0,0,0,0,0,0,0,2
6324,@Oleg270273,0,1,0,0,0,0,0,0,0,0,0
6325,@SophieMelodi,1,0,0,0,0,0,0,0,0,0,2
6327,@Mandari85554715,0,1,0,0,0,0,0,0,0,0,0
6328,@DimaTsits,0,0,1,0,0,0,0,0,0,0,3
6329,@hramsv_elisavet,1,0,0,0,0,0,0,0,0,0,2
6330,@lekarstvoturcii,0,0,0,0,0,0,0,0,0,1,9
6331,@red_barboriska,1,0,0,0,0,0,0,0,0,0,2
6332,@OrangeStranded,0,0,0,0,0,0,0,0,0,1,9
6333,@Daniel_Poirot,0,0,1,0,0,0,0,0,0,0,3
6336,@TVegera,0,0,1,0,0,0,0,0,0,0,3
6337,@RadAyshat,0,0,0,0,0,0,0,1,0,0,5
6338,@polyarti,0,1,0,0,0,0,0,0,0,0,0
6339,@hello24ru,0,0,0,1,0,0,0,0,0,0,6
6343,@tirsky,1,0,0,0,0,0,0,0,0,0,2
6344,@sashaelaizz,0,1,0,0,0,0,0,0,0,0,0
6345,@vladsu888,0,1,0,0,0,0,0,0,0,0,0
6347,@badrov88,0,0,0,1,0,0,0,0,0,0,6
6348,@polovchanka_da,1,0,0,0,0,0,0,0,0,0,2
6350,@iGole7qCMj7t422,1,0,0,0,0,0,0,0,0,0,2
6351,@bstelovskij,0,0,1,0,0,0,0,0,0,0,3
6355,@VGil_tvit,0,0,1,0,0,0,0,0,0,0,3
6357,@AlexLehtman,0,0,0,0,0,0,0,1,0,0,5
6359,@Rpyu7XZjr7M22SG,1,0,0,0,0,0,0,0,0,0,2
6360,@wonderfullmood,0,0,0,1,0,0,0,0,0,0,6
6361,@ludmila2181,1,0,0,0,0,0,0,0,0,0,2
6363,@19dimm79,1,0,0,0,0,0,0,0,0,0,2
6364,@wishkobel,0,0,0,1,0,0,0,0,0,0,6
6365,@DEvS6B1pcV24riN,0,0,1,0,0,0,0,0,0,0,3
6367,@Alefmack,1,0,0,0,0,0,0,0,0,0,2
6368,@LosikovAleksey,0,0,0,0,0,0,0,0,1,0,8
6369,@vaginanadia2011,0,0,1,0,0,0,0,0,0,0,3
6371,@Sergey44259256,0,0,0,0,0,0,0,0,1,0,8
6372,@mustafinrim,0,1,0,0,0,0,0,0,0,0,0
6373,@feMX794NHqhX5kb,0,0,1,0,0,0,0,0,0,0,3
6374,@Zaykapop,0,0,0,0,0,0,0,1,0,0,5
6375,@Bogtrotter2020,0,0,0,1,0,0,0,0,0,0,6
6377,@blyatcukapizdez,0,0,0,1,0,0,0,0,0,0,6
6378,@smexfm,0,0,0,0,1,0,0,0,0,0,1
6379,@Lomtik_sky,0,0,0,0,1,0,0,0,0,0,1
6381,@jesusperik,0,0,0,1,0,0,0,0,0,0,6
6382,@SoYtanGuay,0,0,0,0,0,0,0,0,1,0,8
6385,@AvtomirRF,0,0,0,1,0,0,0,0,0,0,6
6389,@Erdos_9797,0,1,0,0,0,0,0,0,0,0,0
6390,@Skripka_show,0,1,0,0,0,0,0,0,0,0,0
6391,@daganoff,0,1,0,0,0,0,0,0,0,0,0
6392,@Olga09388382,0,1,0,0,0,0,0,0,0,0,0
6394,@6fJhtbZV6chl8QN,1,0,0,0,0,0,0,0,0,0,2
6395,@maria_bonney,0,0,1,0,0,0,0,0,0,0,3
6396,@Gidoman3,0,0,0,0,0,0,0,0,1,0,8
6397,@Iz4pX,1,0,0,0,0,0,0,0,0,0,2
6399,@protectionmask1,0,0,0,1,0,0,0,0,0,0,6
6400,@Smopuim_81,0,0,1,0,0,0,0,0,0,0,3
6402,@imaaayya,0,1,0,0,0,0,0,0,0,0,0
6403,@sukharevgd,1,0,0,0,0,0,0,0,0,0,2
6404,@urjarkz,0,0,1,0,0,0,0,0,0,0,3
6405,@VaninonewsRu,1,0,0,0,0,0,0,0,0,0,2
6407,@clonYar,0,0,0,0,1,0,0,0,0,0,1
6408,@rd1EJHQFFUH0IPR,0,0,0,0,0,0,0,1,0,0,5
6411,@AnechkaTimohina,0,0,1,0,0,0,0,0,0,0,3
6412,@Sam_Ismail97,0,1,0,0,0,0,0,0,0,0,0
6413,@RamGanohariti,0,0,0,0,0,1,0,0,0,0,4
6415,@Megerra,0,0,0,0,0,0,0,0,0,1,9
6418,@Tafuin,1,0,0,0,0,0,0,0,0,0,2
6419,@GrandioB,0,0,0,1,0,0,0,0,0,0,6
6421,@baragen,0,1,0,0,0,0,0,0,0,0,0
6424,@VBRN7,1,0,0,0,0,0,0,0,0,0,2
6427,@Jhon__Smith,0,0,0,1,0,0,0,0,0,0,6
6428,@1GOG2011,0,1,0,0,0,0,0,0,0,0,0
6430,@joyful_titushka,1,0,0,0,0,0,0,0,0,0,2
6432,@UziPablo,0,0,1,0,0,0,0,0,0,0,3
6433,@ryazeparh_MP,0,1,0,0,0,0,0,0,0,0,0
6434,@zalenka18,0,0,0,0,1,0,0,0,0,0,1
6435,@komrad_vc2017,0,0,1,0,0,0,0,0,0,0,3
6436,@mrhokenks,0,0,0,0,0,0,0,1,0,0,5
6437,@Chosya3,1,0,0,0,0,0,0,0,0,0,2
6438,@krasnov_post,0,1,0,0,0,0,0,0,0,0,0
6439,@veronica_mukosi,0,0,0,1,0,0,0,0,0,0,6
6440,@tttursunov,0,0,0,1,0,0,0,0,0,0,6
6441,@Olexand43681910,1,0,0,0,0,0,0,0,0,0,2
6442,@doc_RVV,1,0,0,0,0,0,0,0,0,0,2
6443,@tito_pi,0,0,0,0,1,0,0,0,0,0,1
6444,@Lenin_Razliv,1,0,0,0,0,0,0,0,0,0,2
6448,@y_aleshi,0,0,0,0,0,0,0,0,1,0,8
6449,@shetnevdima,0,0,0,1,0,0,0,0,0,0,6
6450,@KFAWGTC5FADHlxh,0,0,0,0,0,0,1,0,0,0,7
6454,@NothingHumane,1,0,0,0,0,0,0,0,0,0,2
6456,@Vandam1986,0,1,0,0,0,0,0,0,0,0,0
6457,@Honey13062013,0,0,1,0,0,0,0,0,0,0,3
6458,@SGSPU,1,0,0,0,0,0,0,0,0,0,2
6459,@zsserge,1,0,0,0,0,0,0,0,0,0,2
6460,@submarine407,0,0,1,0,0,0,0,0,0,0,3
6461,@Bloody_Galaxy,1,0,0,0,0,0,0,0,0,0,2
6462,@alex_kukoba,0,0,0,0,1,0,0,0,0,0,1
6463,@kidskazino,1,0,0,0,0,0,0,0,0,0,2
6464,@MinYoogi666,1,0,0,0,0,0,0,0,0,0,2
6466,@popovaa_alice,0,0,0,1,0,0,0,0,0,0,6
6469,@Koyshh,0,0,0,0,0,0,0,1,0,0,5
6470,@webalex127,0,1,0,0,0,0,0,0,0,0,0
6471,@Fuck1nRoka,0,0,0,0,1,0,0,0,0,0,1
6472,@stariad,0,0,0,0,1,0,0,0,0,0,1
6473,@de8ochka,1,0,0,0,0,0,0,0,0,0,2
6474,@Art1ss_music,0,0,0,0,1,0,0,0,0,0,1
6475,@BJKalmaty,1,0,0,0,0,0,0,0,0,0,2
6476,@Alice20723365,0,1,0,0,0,0,0,0,0,0,0
6479,@FiestaloniaRU,1,0,0,0,0,0,0,0,0,0,2
6480,@myjjuly,0,0,0,0,0,1,0,0,0,0,4
6481,@KarRaion,1,0,0,0,0,0,0,0,0,0,2
6484,@JohnDeel19,0,0,1,0,0,0,0,0,0,0,3
6486,@dokmorgue,0,1,0,0,0,0,0,0,0,0,0
6487,@SlavaRosti,0,1,0,0,0,0,0,0,0,0,0
6488,@4totyhochesh,0,0,0,0,0,0,0,0,0,1,9
6490,@tvnauka,1,0,0,0,0,0,0,0,0,0,2
6491,@advokat_astafev,0,0,0,1,0,0,0,0,0,0,6
6492,@TanyaEfimova56,1,0,0,0,0,0,0,0,0,0,2
6493,@AKStudioCompany,0,1,0,0,0,0,0,0,0,0,0
6494,@mrdoctor44_6,0,1,0,0,0,0,0,0,0,0,0
6495,@agata54nsk,0,0,0,0,0,1,0,0,0,0,4
6496,@kottomi5050,0,1,0,0,0,0,0,0,0,0,0
6497,@bpPSuPOV3ttucoc,1,0,0,0,0,0,0,0,0,0,2
6499,@5kXrJFulHlzxpzD,1,0,0,0,0,0,0,0,0,0,2
6500,@diacylglycerol,0,0,0,0,0,0,1,0,0,0,7
6502,@Pereezd241,0,0,1,0,0,0,0,0,0,0,3
6503,@SZimpas,0,1,0,0,0,0,0,0,0,0,0
6504,@IgorMokrov,0,1,0,0,0,0,0,0,0,0,0
6506,@antontivelev,0,0,0,0,0,0,0,0,1,0,8
6508,@D1m9A3rGYdbwogr,0,0,1,0,0,0,0,0,0,0,3
6509,@trend_club,1,0,0,0,0,0,0,0,0,0,2
6510,@UsufBender,0,0,0,0,0,0,0,1,0,0,5
6511,@clark_mira,0,0,1,0,0,0,0,0,0,0,3
6513,@press_dj,0,0,0,0,1,0,0,0,0,0,1
6514,@wolstry,0,0,0,0,0,0,1,0,0,0,7
6515,@nv_kz,0,1,0,0,0,0,0,0,0,0,0
6516,@ankey_ru,0,0,0,1,0,0,0,0,0,0,6
6517,@ygyr4ik,0,0,0,0,0,1,0,0,0,0,4
6519,@Swen79160641,0,1,0,0,0,0,0,0,0,0,0
6520,@light_new_s,0,1,0,0,0,0,0,0,0,0,0
6521,@pridumshik72,0,0,1,0,0,0,0,0,0,0,3
6523,@Ahmashamasha,0,0,0,0,0,0,1,0,0,0,7
6525,@Ksyha06Tamara,1,0,0,0,0,0,0,0,0,0,2
6526,@Fludziyama,1,0,0,0,0,0,0,0,0,0,2
6528,@OutCast82,0,0,1,0,0,0,0,0,0,0,3
6529,@damnelf,0,0,0,0,1,0,0,0,0,0,1
