,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
203,@mareena56,8,0,0,1,2,0,0,0,0,0,2
204,@MKKK,6,9,3,4,2,4,1,1,1,0,0
205,@losevoprobka,5,6,4,8,6,1,1,0,0,0,0
206,@feosmi1,1,32,1,0,0,0,0,0,0,0,0
207,@Molchanov_OV,10,6,1,7,0,4,4,0,0,2,0
208,@dosrtroidolgos,2,0,13,10,6,3,0,0,0,0,3
209,@transsoviet,0,0,0,2,10,7,3,3,9,0,0
210,@SMaxim81,9,3,4,4,4,0,0,0,0,0,2
211,@Top5Lig,4,4,6,2,7,8,2,0,0,0,0
212,@ILine_KRSK,0,4,0,0,0,0,4,8,6,11,0
213,@cbctvaz,0,0,0,0,0,0,0,9,12,12,0
214,@chudak17,4,2,6,5,4,2,2,4,2,2,0
215,@WHO_Europe_RU,5,2,6,3,1,5,2,0,0,2,0
216,@optochina,0,4,7,3,2,0,0,0,0,0,3
217,@PervouralskNews,2,2,1,3,5,4,3,3,5,2,0
218,@CG_Russia_Brno,3,4,2,6,3,4,0,0,1,0,0
219,@Gerfalcon_1972,0,3,7,2,2,2,3,3,0,2,0
220,@php_lass_css,1,3,3,3,6,0,2,1,1,1,0
221,@IsraLoveorg,1,6,12,8,3,0,0,0,2,0,0
222,@Tanya48251736,8,3,0,0,0,0,0,0,0,0,2
223,@northern__music,7,1,2,2,0,0,0,0,0,0,2
224,@yulia_chas,17,12,1,0,0,0,0,0,0,0,2
225,@KOTVRU,0,0,1,17,0,4,7,0,0,0,6
226,@DGP48DZM,5,4,3,7,4,3,0,1,4,0,0
227,@Vremya_Pokazhet,4,2,4,2,4,2,1,1,1,1,0
228,@CanariasRus,5,4,1,3,0,2,0,0,0,0,0
229,@severomorsklife,5,5,4,6,3,3,1,0,0,0,0
230,@WEMAzerbaijan,7,2,1,1,6,8,4,0,1,0,0
231,@NovikoV_1897,1,10,4,11,3,0,0,0,0,0,0
232,@podsolnuhus,2,5,3,1,0,0,0,0,0,0,0
233,@kubansegodnya,0,5,9,4,1,0,1,8,2,0,0
234,@denisenkolive,4,4,1,1,0,0,0,2,0,0,0
235,@ANKryachko,8,1,3,13,2,0,0,0,0,0,6
236,@fzastolnyy,5,5,8,5,3,3,0,0,0,0,0
237,@Domozhiroff,3,3,6,6,1,3,0,2,4,1,0
238,@ShurikUman,4,7,9,3,0,0,2,0,0,1,0
239,@Ohr212,6,6,0,1,0,0,3,0,0,0,0
240,@alexugan1,0,3,3,3,3,2,2,3,0,1,0
241,@_Propovednik_,5,9,1,6,1,1,2,0,1,3,0
242,@Krapiva3,0,0,0,0,0,9,18,3,0,0,7
243,@NewDialogueRU,1,3,1,5,4,0,1,1,4,3,0
244,@Rigsector,8,3,1,1,0,1,0,0,0,0,2
245,@ConspirologyB,7,1,0,0,0,0,0,0,0,0,2
246,@moscow,0,6,2,1,1,1,1,1,3,5,0
