,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_11,cluster_12,id
164,iov75,2,3,10,5,4,3,3,0,0,0,2,1,69810
165,igor_mikhaylin,0,6,1,3,2,5,2,6,1,3,2,1,69040
166,nikolian,4,5,6,3,6,2,1,0,2,1,2,1,47261
167,alcasha,4,7,4,4,3,4,3,0,0,1,2,1,55990
168,ankryachko,4,3,3,7,7,4,0,1,0,0,2,1,41226
169,fontyler,8,6,4,4,3,1,0,1,0,1,2,1,20496
170,olchovka,2,3,5,2,4,2,4,1,1,5,2,1,23431
171,tekstus,0,3,4,7,0,3,1,4,4,3,2,1,16417
172,bepowerback,6,9,4,1,3,5,1,0,0,0,2,1,23153
173,pups_alik,4,3,4,2,4,3,2,5,1,0,2,1,33758
174,expert2009,3,0,0,0,0,3,7,9,4,1,2,11,82139
175,blogkadrovika,5,14,0,1,1,1,2,2,0,2,2,1,94550
176,putnik_76,2,8,7,3,3,2,0,0,2,1,2,1,24498
177,davydov_index,3,4,3,2,4,3,1,3,2,2,2,1,81711
178,tema,4,5,1,7,1,2,3,3,1,1,2,1,62963
179,kirulya,5,4,4,4,6,1,2,2,0,0,2,1,86988
180,since1975,2,3,4,3,2,3,1,3,4,3,2,1,37761
181,igumen_nektariy,2,4,3,6,1,2,3,2,1,4,2,1,40936
182,bagrat12,11,11,0,1,0,3,0,0,1,0,2,1,95547
183,textinthepiter,6,6,3,2,2,2,1,1,3,1,2,1,74013
184,ljpromo,4,1,3,4,5,4,1,2,1,2,2,1,14176
185,vas_pop,2,1,5,8,5,4,0,1,0,1,2,1,19632
186,innaklimenko,0,1,6,1,4,2,2,1,5,4,2,1,38945
187,vg_saveliev,3,4,3,5,4,2,1,2,2,0,2,1,38562
188,ne_ljubov,4,7,3,3,3,2,2,2,0,0,2,1,37585
189,chestniy_yurist,0,6,4,1,0,4,3,4,3,1,2,1,60053
190,andrewfp,4,9,5,8,0,0,0,0,0,0,2,1,92175
191,sevastian_mos,4,6,7,2,0,0,2,1,1,2,2,1,34208
192,olegkir2002,1,3,7,7,6,1,0,0,0,0,2,1,53809
193,aloban75,0,0,0,0,2,2,2,5,6,7,2,11,90319
194,grazhdankanika,3,7,6,2,1,1,2,2,1,0,2,1,36624
195,inok_arkadiy,0,2,5,2,3,1,1,5,3,3,2,1,77103
196,antiscientism,1,4,5,5,5,4,0,0,0,0,2,1,45022
197,vladimirkrym,0,2,3,2,1,0,6,7,3,1,2,1,61985
198,filyacat,3,7,2,3,2,4,2,1,0,0,2,1,84089
199,abramshlimazl,2,2,6,3,1,2,4,1,0,3,2,1,61676
200,suomilarissa,4,5,3,5,3,2,1,0,1,0,2,1,46627
201,sl_serg,1,2,8,4,3,3,1,0,1,1,2,1,16046
202,manzal,3,4,3,3,4,1,2,2,0,2,2,1,50421
203,h_e_l_g_a_a,2,4,1,1,4,2,2,4,2,1,2,1,14770
204,knyazev_v,1,2,5,5,1,4,2,2,1,0,2,1,38881
205,olik_gp,0,0,7,2,4,2,5,2,1,0,2,1,71638
206,vitollen,0,0,1,13,8,0,1,0,0,0,0,8,23301
207,m_skazitelnitsa,4,4,3,3,1,2,2,1,2,1,2,1,74908
208,likynia,2,4,5,6,0,2,1,0,2,1,2,1,36465
209,nibelungen74,4,14,2,1,0,1,0,1,0,0,8,3,70449
210,granny_m,2,1,1,1,2,2,2,0,0,12,9,4,43334
211,artyom_ferrier,2,3,6,2,2,2,2,0,0,3,2,1,44732
212,julia_shahray,0,13,3,2,1,2,0,0,1,0,8,3,83626
213,nezrim,1,3,0,5,2,2,3,3,2,1,2,1,26178
214,vera_rom,4,10,1,5,1,0,1,0,0,0,2,1,62889
215,yurayakunin,2,7,3,3,0,3,2,2,0,0,2,1,82409
216,boltimeter,0,4,3,5,2,1,1,1,2,3,2,1,36166
217,serfilatov,4,7,2,2,3,2,0,1,0,0,2,1,11286
218,roma_nowa,3,4,5,3,2,0,0,2,0,2,2,1,12227
219,seoded,1,3,3,3,3,1,2,1,1,3,2,1,43863
220,natalia_goodler,3,4,2,4,2,1,1,2,2,0,2,1,13545
221,poohmoon,3,3,1,2,5,2,2,2,0,1,2,1,96728
222,aaz1z,4,1,5,0,1,2,3,1,2,1,2,1,88426
223,darkness_mst,0,3,2,3,2,1,1,3,0,5,2,1,67789
224,gerontiey,0,0,8,7,0,2,0,3,0,0,2,1,71991
225,historian30h,2,6,3,1,3,0,0,3,2,0,2,1,42288
226,interes2012,0,0,4,7,2,1,2,2,1,1,2,1,45754
227,orchid_eya,1,4,5,1,3,2,0,0,2,2,2,1,22746
228,irina_referee,0,0,0,0,0,0,2,5,5,8,2,11,62278
229,karlsonmarxx,0,3,8,2,5,0,1,0,1,0,2,1,90787
230,amygdally,0,0,1,0,6,8,1,1,2,1,2,1,59379
231,adept58,2,2,0,6,2,1,6,0,0,1,2,1,97610
232,valerytim,4,6,3,2,4,1,0,0,0,0,2,1,72355
233,marimbu,3,4,2,2,4,2,1,2,0,0,2,1,57526
234,zemfort1983,4,5,0,6,2,0,1,0,1,1,2,1,45039
235,larasdvatri123,1,2,2,1,1,2,2,4,2,3,2,1,47652
236,gal_an,0,0,5,4,3,3,1,1,2,0,2,1,34656
237,igorchernogolov,0,1,6,2,6,3,1,0,0,0,2,1,37890
238,alex_seevna,1,2,4,0,2,4,5,1,0,0,2,1,94359
239,boristayskey,3,0,3,4,1,1,3,3,1,0,2,1,15823
240,pulemjotov,0,0,1,5,3,2,4,0,2,2,2,1,33749
241,belyrabbit,1,3,1,2,3,1,4,1,1,2,2,1,77681
242,kostromanews,0,0,0,0,0,19,0,0,0,0,5,9,15108
243,marafonec,1,5,1,2,1,2,2,3,0,2,2,1,25527
244,ingenertael1971,1,3,3,2,2,0,2,2,1,3,2,1,60787
245,fluggegecheimen,0,0,0,0,0,0,0,7,10,2,4,11,21312
246,kerzak_1,0,0,0,6,8,5,0,0,0,0,2,1,98303
247,techwork,0,5,4,3,2,0,0,2,1,2,2,1,56082
248,lisiy_ml,2,1,4,5,1,2,1,0,0,2,2,1,14845
249,vba_,3,4,3,2,0,1,1,2,1,1,2,1,63087
250,elhombresombro,3,1,5,7,1,0,0,0,0,1,2,1,99025
251,ivan_beletskiy,1,1,7,8,0,0,0,0,0,1,2,1,50802
252,antismith,1,1,0,1,2,1,4,3,2,3,2,1,88206
253,uvova,2,4,2,2,3,2,1,1,0,1,2,1,40925
254,powerforpeople,3,3,5,3,2,0,1,1,0,0,2,1,68489
255,navsifoy,1,6,0,2,2,3,0,1,2,0,2,1,39312
256,otbornayapolit,0,5,4,3,3,2,0,1,0,0,2,1,48330
